Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
618,Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,22.0,2000.0,10.0,137.0,216.0,63.4,1668.0,384.0,91.0,133.0,68.4,36.0,53.0,67.9,3.0,3.0,100.0,1.0,0.7,0.8,+0.3,7.0,7.0,4.0,2.0,13.0,Matches
619,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,34.0,1988.0,17.1,979.0,1095.0,89.4,17542.0,5544.0,360.0,376.0,95.7,531.0,566.0,93.8,74.0,124.0,59.7,0.0,0.2,0.4,-0.2,4.0,61.0,4.0,1.0,61.0,Matches
620,Alberto Dadie,es ESP,MF,Real Sociedad,es La Liga,21.0,2002.0,0.3,3.0,7.0,42.9,47.0,33.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Matches
621,Trévis Dago,ci CIV,"FW,MF",Lille,fr Ligue 1,18.0,2005.0,0.3,2.0,4.0,50.0,31.0,19.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,,1.0,0.4,0.0,+0.6,1.0,0.0,1.0,1.0,0.0,Matches
622,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,25.0,1998.0,31.0,1025.0,1345.0,76.2,27889.0,18248.0,166.0,168.0,98.8,556.0,566.0,98.2,299.0,600.0,49.8,0.0,0.1,0.2,-0.1,1.0,44.0,1.0,0.0,3.0,Matches
623,Mahmoud Dahoud,de GER,MF,Brighton,eng Premier League,27.0,1996.0,5.0,284.0,328.0,86.6,4011.0,886.0,169.0,176.0,96.0,84.0,99.0,84.8,16.0,25.0,64.0,1.0,0.9,0.4,+0.1,10.0,21.0,1.0,1.0,11.0,Matches
624,Mahmoud Dahoud,de GER,MF,Stuttgart,de Bundesliga,27.0,1996.0,2.5,205.0,235.0,87.2,3140.0,829.0,117.0,126.0,92.9,63.0,71.0,88.7,16.0,24.0,66.7,0.0,0.5,0.9,-0.5,7.0,19.0,3.0,1.0,19.0,Matches
625,Ameen Al-Dakhil,be BEL,DF,Burnley,eng Premier League,21.0,2002.0,11.7,537.0,637.0,84.3,9642.0,2939.0,208.0,220.0,94.5,280.0,321.0,87.2,42.0,77.0,54.5,0.0,0.1,0.6,-0.1,2.0,13.0,2.0,0.0,35.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
626,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22.0,2000.0,27.9,416.0,621.0,67.0,5875.0,1080.0,245.0,343.0,71.4,117.0,174.0,67.2,22.0,38.0,57.9,2.0,1.2,1.8,+0.8,17.0,19.0,15.0,2.0,38.0,Matches
627,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24.0,1999.0,35.3,1486.0,1830.0,81.2,24927.0,8066.0,729.0,817.0,89.2,574.0,701.0,81.9,139.0,213.0,65.3,3.0,2.9,2.4,+0.1,37.0,107.0,31.0,16.0,124.0,Matches
628,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,23.0,2000.0,9.4,300.0,432.0,69.4,4940.0,1897.0,151.0,194.0,77.8,116.0,151.0,76.8,26.0,55.0,47.3,2.0,1.4,0.9,+0.6,10.0,50.0,11.0,1.0,61.0,Matches
629,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,22.0,2001.0,8.3,350.0,411.0,85.2,5932.0,2368.0,157.0,180.0,87.2,157.0,170.0,92.4,27.0,39.0,69.2,0.0,0.2,0.1,-0.2,5.0,31.0,2.0,0.0,37.0,Matches
630,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,22.0,2001.0,19.9,588.0,757.0,77.7,10476.0,3222.0,255.0,297.0,85.9,246.0,285.0,86.3,70.0,123.0,56.9,2.0,1.5,0.7,+0.5,20.0,74.0,14.0,0.0,82.0,Matches
631,Danilo,br BRA,DF,Juventus,it Serie A,32.0,1991.0,27.2,1591.0,1849.0,86.0,31356.0,11027.0,541.0,580.0,93.3,839.0,916.0,91.6,195.0,303.0,64.4,1.0,0.9,1.0,+0.1,21.0,148.0,14.0,4.0,161.0,Matches
632,Arnaut Danjuma,nl NED,"MF,FW",Everton,eng Premier League,26.0,1997.0,6.6,102.0,152.0,67.1,1420.0,357.0,57.0,69.0,82.6,37.0,54.0,68.5,2.0,7.0,28.6,0.0,1.1,0.4,-1.1,6.0,6.0,2.0,0.0,9.0,Matches
633,Jayden Danns,eng ENG,FW,Liverpool,eng Premier League,17.0,2006.0,0.1,5.0,7.0,71.4,73.0,16.0,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Matches
634,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24.0,1998.0,29.5,1508.0,1719.0,87.7,27659.0,10926.0,573.0,622.0,92.1,779.0,856.0,91.0,128.0,196.0,65.3,0.0,0.4,0.7,-0.4,8.0,122.0,6.0,0.0,133.0,Matches
635,Dante,br BRA,DF,Nice,fr Ligue 1,39.0,1983.0,31.6,2540.0,2803.0,90.6,43573.0,17293.0,1157.0,1213.0,95.4,1141.0,1202.0,94.9,183.0,303.0,60.4,1.0,1.0,1.2,0.0,13.0,170.0,7.0,1.0,185.0,Matches
636,Raimane Daou,km COM,"DF,MF",Marseille,fr Ligue 1,18.0,2004.0,0.3,11.0,13.0,84.6,120.0,30.0,11.0,11.0,100.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
637,Mohammed Daramy,dk DEN,"FW,MF",Reims,fr Ligue 1,21.0,2002.0,18.3,401.0,527.0,76.1,5848.0,1542.0,222.0,276.0,80.4,139.0,171.0,81.3,17.0,29.0,58.6,5.0,2.4,2.9,+2.6,23.0,22.0,30.0,3.0,69.0,Matches
638,Sergi Darder,es ESP,MF,Mallorca,es La Liga,29.0,1993.0,24.0,725.0,1002.0,72.4,13785.0,4827.0,313.0,357.0,87.7,275.0,349.0,78.8,115.0,229.0,50.2,5.0,6.4,5.0,-1.4,51.0,120.0,32.0,14.0,132.0,Matches
639,Achraf Dari,ma MAR,"DF,FW",Brest,fr Ligue 1,24.0,1999.0,1.3,73.0,85.0,85.9,1773.0,564.0,11.0,14.0,78.6,45.0,47.0,95.7,17.0,23.0,73.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,Matches
640,Matteo Darmian,it ITA,DF,Inter,it Serie A,33.0,1989.0,26.7,1181.0,1389.0,85.0,20253.0,6795.0,512.0,565.0,90.6,558.0,611.0,91.3,83.0,144.0,57.6,1.0,1.8,1.3,-0.8,22.0,64.0,14.0,6.0,72.0,Matches
641,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,24.0,1998.0,6.0,107.0,179.0,59.8,1382.0,483.0,64.0,90.0,71.1,30.0,49.0,61.2,3.0,17.0,17.6,1.0,1.0,1.2,0.0,10.0,8.0,7.0,2.0,17.0,Matches
642,Josh Dasilva,eng ENG,"DF,FW",Brentford,eng Premier League,24.0,1998.0,0.3,10.0,19.0,52.6,153.0,59.0,5.0,7.0,71.4,5.0,7.0,71.4,0.0,2.0,0.0,0.0,0.2,0.2,-0.2,1.0,0.0,0.0,0.0,2.0,Matches
643,David Datro Fofana,ci CIV,FW,Burnley,eng Premier League,20.0,2002.0,9.8,117.0,173.0,67.6,1574.0,343.0,67.0,94.0,71.3,36.0,49.0,73.5,5.0,6.0,83.3,1.0,1.8,0.3,-0.8,8.0,9.0,5.0,1.0,15.0,Matches
644,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,de Bundesliga,20.0,2002.0,7.6,106.0,152.0,69.7,1536.0,346.0,65.0,83.0,78.3,25.0,39.0,64.1,9.0,10.0,90.0,0.0,0.3,0.3,-0.3,5.0,5.0,8.0,2.0,14.0,Matches
645,Juan David Cabal,co COL,DF,Hellas Verona,it Serie A,22.0,2001.0,16.6,561.0,790.0,71.0,9888.0,4415.0,265.0,306.0,86.6,228.0,302.0,75.5,56.0,126.0,44.4,0.0,0.4,0.6,-0.4,12.0,57.0,10.0,6.0,70.0,Matches
646,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23.0,2000.0,29.2,537.0,655.0,82.0,7433.0,1592.0,306.0,359.0,85.2,186.0,219.0,84.9,12.0,15.0,80.0,4.0,3.3,2.3,+0.7,32.0,53.0,26.0,1.0,79.0,Matches
647,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22.0,2000.0,22.9,1440.0,1642.0,87.7,20701.0,5332.0,847.0,929.0,91.2,536.0,589.0,91.0,27.0,52.0,51.9,5.0,2.9,3.3,+2.1,37.0,88.0,31.0,7.0,117.0,Matches
648,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,30.0,1993.0,12.1,766.0,850.0,90.1,13839.0,5258.0,303.0,324.0,93.5,388.0,413.0,93.9,60.0,81.0,74.1,0.0,0.4,0.6,-0.4,4.0,80.0,4.0,0.0,71.0,Matches
649,Tom Davies,eng ENG,MF,Sheffield Utd,eng Premier League,25.0,1998.0,2.5,68.0,99.0,68.7,901.0,310.0,41.0,50.0,82.0,20.0,27.0,74.1,2.0,7.0,28.6,0.0,0.1,0.2,-0.1,1.0,6.0,1.0,0.0,8.0,Matches
650,Keinan Davis,eng ENG,"FW,MF",Udinese,it Serie A,25.0,1998.0,2.1,36.0,50.0,72.0,512.0,122.0,20.0,26.0,76.9,14.0,16.0,87.5,1.0,1.0,100.0,0.0,0.1,0.2,-0.1,3.0,3.0,2.0,0.0,6.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
651,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,28.0,1995.0,23.8,972.0,1173.0,82.9,20339.0,7048.0,247.0,302.0,81.8,587.0,647.0,90.7,131.0,199.0,65.8,0.0,0.0,0.1,0.0,2.0,60.0,2.0,0.0,89.0,Matches
652,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,33.0,1990.0,24.5,1104.0,1277.0,86.5,23417.0,8062.0,296.0,333.0,88.9,640.0,679.0,94.3,158.0,237.0,66.7,1.0,1.4,0.6,-0.4,9.0,52.0,2.0,0.0,49.0,Matches
653,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,32.0,1991.0,13.6,732.0,971.0,75.4,11555.0,3364.0,426.0,481.0,88.6,223.0,293.0,76.1,66.0,134.0,49.3,10.0,11.5,7.1,-1.5,59.0,67.0,56.0,12.0,111.0,Matches
654,Charles De Ketelaere,be BEL,"FW,MF",Atalanta,it Serie A,22.0,2001.0,22.5,565.0,782.0,72.3,8690.0,2346.0,302.0,384.0,78.6,211.0,273.0,77.3,31.0,58.0,53.4,8.0,6.1,4.1,+1.9,49.0,44.0,42.0,7.0,126.0,Matches
655,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,29.0,1994.0,23.1,1291.0,1553.0,83.1,21996.0,6879.0,635.0,688.0,92.3,463.0,548.0,84.5,148.0,218.0,67.9,5.0,5.0,6.2,0.0,39.0,146.0,63.0,7.0,202.0,Matches
656,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30.0,1992.0,0.5,17.0,19.0,89.5,296.0,124.0,7.0,7.0,100.0,9.0,10.0,90.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,Matches
657,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,35.0,1988.0,7.5,373.0,432.0,86.3,5791.0,1916.0,181.0,195.0,92.8,168.0,189.0,88.9,14.0,29.0,48.3,0.0,0.0,0.1,0.0,0.0,20.0,1.0,1.0,27.0,Matches
658,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,25.0,1998.0,20.3,837.0,1046.0,80.0,13947.0,4928.0,395.0,448.0,88.2,364.0,427.0,85.2,62.0,126.0,49.2,0.0,0.8,0.6,-0.8,14.0,80.0,14.0,4.0,104.0,Matches
659,Koni De Winter,be BEL,DF,Genoa,it Serie A,21.0,2002.0,26.4,1122.0,1269.0,88.4,19280.0,6416.0,465.0,509.0,91.4,568.0,615.0,92.4,67.0,99.0,67.7,1.0,1.0,0.3,0.0,5.0,54.0,5.0,0.0,76.0,Matches
660,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,32.0,1991.0,8.4,187.0,221.0,84.6,2738.0,555.0,102.0,114.0,89.5,65.0,75.0,86.7,10.0,13.0,76.9,2.0,1.2,1.1,+0.8,8.0,10.0,3.0,1.0,17.0,Matches
661,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,27.0,1995.0,17.9,364.0,524.0,69.5,6842.0,2077.0,171.0,216.0,79.2,142.0,194.0,73.2,47.0,90.0,52.2,0.0,0.9,0.5,-0.9,10.0,45.0,7.0,2.0,64.0,Matches
662,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,27.0,1996.0,27.7,989.0,1469.0,67.3,16904.0,6014.0,486.0,603.0,80.6,327.0,474.0,69.0,126.0,258.0,48.8,8.0,9.9,9.1,-1.9,89.0,103.0,72.0,21.0,155.0,Matches
663,Thomas Delaine,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,31.0,1992.0,22.7,638.0,882.0,72.3,10860.0,3569.0,284.0,336.0,84.5,288.0,388.0,74.2,53.0,110.0,48.2,1.0,3.6,3.0,-2.6,26.0,30.0,23.0,12.0,52.0,Matches
664,Sacha Delaye,fr FRA,"MF,FW",Montpellier,fr Ligue 1,21.0,2002.0,1.4,38.0,48.0,79.2,533.0,150.0,21.0,24.0,87.5,13.0,15.0,86.7,1.0,5.0,20.0,0.0,0.1,0.1,-0.1,2.0,3.0,1.0,1.0,4.0,Matches
665,Hannes Delcroix,be BEL,DF,Burnley,eng Premier League,24.0,1999.0,6.5,300.0,350.0,85.7,4932.0,1666.0,145.0,155.0,93.5,135.0,154.0,87.7,16.0,31.0,51.6,0.0,0.2,0.1,-0.2,4.0,24.0,3.0,2.0,18.0,Matches
666,Alessandro Dellavalle,it ITA,DF,Torino,it Serie A,19.0,2004.0,0.2,5.0,6.0,83.3,132.0,51.0,3.0,3.0,100.0,0.0,0.0,,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches
667,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,23.0,2000.0,15.2,543.0,730.0,74.4,9637.0,3323.0,244.0,284.0,85.9,226.0,289.0,78.2,63.0,111.0,56.8,1.0,0.9,1.3,+0.1,13.0,34.0,15.0,8.0,40.0,Matches
668,Karamoko Dembélé,eng ENG,"MF,FW",Brest,fr Ligue 1,20.0,2003.0,0.2,8.0,10.0,80.0,171.0,24.0,3.0,3.0,100.0,4.0,4.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
669,Ousmane Dembélé,fr FRA,"MF,FW",Paris S-G,fr Ligue 1,26.0,1997.0,16.7,792.0,1044.0,75.9,13339.0,3923.0,380.0,454.0,83.7,315.0,403.0,78.2,66.0,114.0,57.9,8.0,6.7,5.8,+1.3,59.0,84.0,52.0,8.0,133.0,Matches
670,Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25.0,1998.0,7.7,221.0,258.0,85.7,3891.0,1010.0,105.0,112.0,93.8,85.0,96.0,88.5,25.0,41.0,61.0,0.0,0.4,0.6,-0.4,2.0,31.0,3.0,0.0,24.0,Matches
671,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,de Bundesliga,25.0,1998.0,31.9,371.0,574.0,64.6,4996.0,1174.0,202.0,289.0,69.9,129.0,165.0,78.2,8.0,14.0,57.1,9.0,3.9,3.7,+5.1,33.0,40.0,17.0,1.0,60.0,Matches
672,Diego Demme,de GER,MF,Napoli,it Serie A,31.0,1991.0,0.8,63.0,76.0,82.9,1050.0,216.0,28.0,34.0,82.4,29.0,35.0,82.9,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,Matches
673,Sepp van den Berg,nl NED,DF,Mainz 05,de Bundesliga,21.0,2001.0,31.5,1190.0,1469.0,81.0,21938.0,7392.0,421.0,497.0,84.7,657.0,764.0,86.0,94.0,163.0,57.7,0.0,0.3,0.4,-0.3,7.0,86.0,4.0,0.0,95.0,Matches
674,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,28.0,1995.0,1.3,45.0,56.0,80.4,744.0,139.0,24.0,28.0,85.7,19.0,22.0,86.4,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Matches
675,Leander Dendoncker,be BEL,MF,Napoli,it Serie A,28.0,1995.0,0.3,23.0,27.0,85.2,333.0,62.0,15.0,17.0,88.2,8.0,9.0,88.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
676,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,27.0,1996.0,6.0,128.0,212.0,60.4,4450.0,3581.0,26.0,26.0,100.0,35.0,35.0,100.0,67.0,150.0,44.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Matches
677,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28.0,1995.0,17.2,788.0,944.0,83.5,11478.0,3595.0,440.0,489.0,90.0,288.0,342.0,84.2,26.0,53.0,49.1,1.0,0.7,1.1,+0.3,8.0,49.0,5.0,2.0,81.0,Matches
678,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29.0,1994.0,33.0,611.0,945.0,64.7,17763.0,13674.0,112.0,112.0,100.0,258.0,261.0,98.9,230.0,555.0,41.4,0.0,0.4,0.1,-0.4,1.0,15.0,1.0,0.0,0.0,Matches
679,Mattia Destro,it ITA,"FW,MF",Empoli,it Serie A,32.0,1991.0,4.1,41.0,63.0,65.1,567.0,71.0,22.0,32.0,68.8,17.0,25.0,68.0,1.0,1.0,100.0,0.0,0.3,0.0,-0.3,3.0,2.0,0.0,0.0,4.0,Matches
680,Samuele Di Benedetto,de GER,MF,Stuttgart,de Bundesliga,18.0,2005.0,0.1,10.0,11.0,90.9,107.0,2.0,7.0,7.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches
681,Federico Di Francesco,it ITA,"FW,MF",Lecce,it Serie A,29.0,1994.0,0.2,6.0,8.0,75.0,90.0,43.0,1.0,2.0,50.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches
682,Raffaele Di Gennaro,it ITA,GK,Inter,it Serie A,29.0,1993.0,0.3,15.0,17.0,88.2,324.0,175.0,5.0,5.0,100.0,8.0,8.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,26.0,1997.0,31.9,1054.0,1350.0,78.1,28283.0,18779.0,220.0,224.0,98.2,513.0,517.0,99.2,314.0,600.0,52.3,0.0,0.0,0.1,0.0,0.0,15.0,0.0,0.0,1.0,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29.0,1993.0,35.9,2314.0,2732.0,84.7,36941.0,13552.0,1255.0,1357.0,92.5,835.0,982.0,85.0,170.0,254.0,66.9,6.0,4.9,5.4,+1.1,51.0,230.0,86.0,16.0,304.0,Matches
685,Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,it Serie A,24.0,1999.0,4.0,115.0,175.0,65.7,1822.0,700.0,65.0,82.0,79.3,41.0,57.0,71.9,6.0,24.0,25.0,0.0,0.2,0.2,-0.2,5.0,5.0,7.0,4.0,11.0,Matches
686,Boulaye Dia,sn SEN,"FW,MF",Salernitana,it Serie A,26.0,1996.0,12.7,204.0,244.0,83.6,3303.0,641.0,99.0,111.0,89.2,77.0,86.0,89.5,16.0,23.0,69.6,0.0,0.5,0.5,-0.5,10.0,22.0,5.0,0.0,22.0,Matches
687,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,eng Premier League,24.0,1999.0,24.2,485.0,619.0,78.4,6960.0,1348.0,280.0,329.0,85.1,170.0,215.0,79.1,17.0,32.0,53.1,8.0,6.6,4.5,+1.4,47.0,29.0,40.0,9.0,72.0,Matches
688,Lamine Diack,sn SEN,MF,Nantes,fr Ligue 1,22.0,2000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
689,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,es La Liga,26.0,1996.0,11.9,475.0,546.0,87.0,9314.0,2704.0,152.0,160.0,95.0,272.0,294.0,92.5,43.0,76.0,56.6,0.0,0.0,0.1,0.0,2.0,23.0,2.0,0.0,29.0,Matches
690,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,17.0,2005.0,2.3,38.0,48.0,79.2,646.0,131.0,13.0,16.0,81.3,19.0,25.0,76.0,3.0,4.0,75.0,0.0,0.2,0.4,-0.2,1.0,1.0,0.0,0.0,1.0,Matches
691,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22.0,2001.0,18.8,1206.0,1311.0,92.0,20793.0,7113.0,503.0,545.0,92.3,596.0,633.0,94.2,77.0,92.0,83.7,2.0,1.4,0.7,+0.6,13.0,91.0,1.0,0.0,95.0,Matches
692,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19.0,2003.0,1.2,57.0,85.0,67.1,894.0,329.0,28.0,39.0,71.8,19.0,28.0,67.9,6.0,9.0,66.7,0.0,0.2,0.1,-0.2,2.0,6.0,2.0,1.0,7.0,Matches
693,Moussa Diakité,ml MLI,MF,Cádiz,es La Liga,19.0,2003.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
694,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,19.0,2003.0,17.6,239.0,305.0,78.4,3219.0,504.0,132.0,161.0,82.0,89.0,107.0,83.2,2.0,6.0,33.3,1.0,1.3,1.3,-0.3,15.0,16.0,8.0,0.0,28.0,Matches
695,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,eng Premier League,21.0,2002.0,4.3,149.0,170.0,87.6,1931.0,279.0,105.0,115.0,91.3,32.0,37.0,86.5,4.0,5.0,80.0,1.0,1.1,0.5,-0.1,10.0,6.0,3.0,0.0,10.0,Matches
696,Amadou Diallo,eng ENG,MF,Newcastle Utd,eng Premier League,20.0,2003.0,0.0,1.0,1.0,100.0,10.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
697,Assane Diao,es ESP,FW,Betis,es La Liga,17.0,2005.0,11.6,200.0,264.0,75.8,2297.0,410.0,140.0,164.0,85.4,35.0,47.0,74.5,7.0,9.0,77.8,0.0,0.7,0.8,-0.7,10.0,4.0,6.0,1.0,20.0,Matches
698,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,19.0,2004.0,25.6,735.0,874.0,84.1,14234.0,2751.0,275.0,326.0,84.4,350.0,394.0,88.8,100.0,129.0,77.5,1.0,1.3,1.8,-0.3,21.0,73.0,23.0,1.0,107.0,Matches
699,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22.0,2000.0,15.5,550.0,680.0,80.9,9600.0,3899.0,223.0,266.0,83.8,282.0,326.0,86.5,34.0,57.0,59.6,2.0,1.1,0.9,+0.9,10.0,56.0,19.0,4.0,70.0,Matches
700,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,26.0,1997.0,28.4,2469.0,2635.0,93.7,42764.0,13568.0,1039.0,1076.0,96.6,1256.0,1306.0,96.2,146.0,204.0,71.6,0.0,0.3,1.9,-0.3,7.0,220.0,12.0,3.0,173.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
701,Krépin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,24.0,1999.0,13.4,602.0,787.0,76.5,9825.0,3682.0,294.0,352.0,83.5,245.0,315.0,77.8,41.0,76.0,53.9,2.0,1.8,2.2,+0.2,23.0,46.0,22.0,5.0,80.0,Matches
702,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,30.0,1993.0,30.0,848.0,1245.0,68.1,25299.0,18226.0,125.0,125.0,100.0,388.0,401.0,96.8,325.0,704.0,46.2,0.0,0.1,0.1,-0.1,2.0,35.0,1.0,0.0,1.0,Matches
703,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,18.0,2005.0,4.0,125.0,147.0,85.0,1886.0,329.0,62.0,69.0,89.9,46.0,49.0,93.9,10.0,16.0,62.5,0.0,0.1,0.2,-0.1,3.0,8.0,2.0,0.0,20.0,Matches
704,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,23.0,1999.0,17.2,624.0,740.0,84.3,7892.0,1835.0,430.0,463.0,92.9,132.0,170.0,77.6,23.0,40.0,57.5,6.0,4.4,4.7,+1.6,30.0,42.0,34.0,7.0,75.0,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26.0,1997.0,29.2,898.0,1075.0,83.5,13772.0,2931.0,527.0,584.0,90.2,274.0,320.0,85.6,68.0,91.0,74.7,5.0,5.7,4.7,-0.7,64.0,62.0,45.0,3.0,113.0,Matches
706,Víctor Díaz,es ESP,"DF,MF",Granada,es La Liga,35.0,1988.0,1.8,47.0,74.0,63.5,1009.0,359.0,12.0,15.0,80.0,28.0,32.0,87.5,7.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Matches
707,Famara Diedhiou,sn SEN,"FW,MF",Granada,es La Liga,30.0,1992.0,1.0,20.0,41.0,48.8,278.0,22.0,14.0,22.0,63.6,3.0,9.0,33.3,2.0,3.0,66.7,1.0,0.2,0.2,+0.8,1.0,0.0,0.0,0.0,0.0,Matches
708,Justin Diehl,de GER,"FW,MF",Köln,de Bundesliga,18.0,2004.0,1.9,41.0,64.0,64.1,657.0,189.0,21.0,25.0,84.0,13.0,20.0,65.0,5.0,14.0,35.7,0.0,0.2,0.2,-0.2,5.0,1.0,2.0,1.0,2.0,Matches
709,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23.0,2000.0,6.1,90.0,117.0,76.9,1190.0,105.0,55.0,67.0,82.1,22.0,31.0,71.0,4.0,5.0,80.0,1.0,1.6,0.9,-0.6,8.0,3.0,2.0,0.0,4.0,Matches
710,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29.0,1994.0,2.2,125.0,141.0,88.7,2070.0,1037.0,52.0,57.0,91.2,69.0,72.0,95.8,3.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Matches
